BOQ-LI,BOQ-LO,BOQ-UP,year,month
---,---,7.05,2001,7
---,---,6.97,2001,8
---,2.24,7.1,2001,9
---,2.27,7.15,2001,10
---,2.29,7.12,2001,11
---,2.32,7.05,2001,12
---,2.36,7.01,2002,1
---,2.4,6.99,2002,2
---,2.43,7,2002,3
---,2.48,7.03,2002,4
---,2.52,7.12,2002,5
4.13,2.57,7.26,2002,6
4.14,2.63,7.26,2002,7
3.96,2.68,7.14,2002,8
4.08,2.73,7.27,2002,9
4.16,2.79,7.31,2002,10
4.12,2.84,7.23,2002,11
4.06,2.88,7.16,2002,12
4.03,2.92,7.1,2003,1
4,2.95,7.07,2003,2
4,2.99,7.06,2003,3
4,3.04,7.08,2003,4
4.05,3.08,7.17,2003,5
4.14,3.11,7.34,2003,6
4.18,3.16,7.32,2003,7
3.93,3.19,7.17,2003,8
3.97,3.22,7.26,2003,9