FBK-LI,FBK-LO,FBK-UP,year,month
3.81,---,---,2000,10
3.9,---,---,2000,11
4.04,---,---,2000,12
4.05,---,---,2001,1
4.03,---,---,2001,2
4,---,---,2001,3
3.98,---,---,2001,4
4.04,---,---,2001,5
4.42,---,10.18,2001,6
4.51,---,10.31,2001,7
4.3,---,10.32,2001,8
4.48,---,10.31,2001,9
4.55,---,10.29,2001,10
4.52,---,10.22,2001,11
4.47,---,10.13,2001,12
4.41,---,10.03,2002,1
4.35,---,9.98,2002,2
4.31,---,9.94,2002,3
4.3,---,9.91,2002,4
4.41,---,9.93,2002,5
4.88,5.2,10.17,2002,6
4.97,5.46,10.47,2002,7
4.86,5.24,10.53,2002,8
5.07,5.4,10.59,2002,9
dry,5.69,10.77,2002,10
dry,5.66,10.8,2002,11
5.12,5.36,10.65,2002,12
4.95,5.21,10.53,2003,1
4.79,5.11,10.44,2003,2
4.64,5.04,10.37,2003,3
4.52,4.99,10.33,2003,4
4.59,5.03,10.31,2003,5
4.98,5.42,10.49,2003,6
dry,5.7,10.75,2003,7
4.95,5.43,10.73,2003,8
4.92,5.46,10.82,2003,9