PAL-LS,PAL-LD,PAL-US,PAL-UD,PALUWS,PALUWD,PALSUM,PAL-SA,year,month
3.57,3.39,---,---,,,,,2000,7
3.09,3.27,4.57,4.62,---,---,---,---,2000,8
3.28,3.18,4.87,4.87,---,---,---,---,2000,9
2.87,2.66,4.47,4.47,---,---,---,---,2000,10
3,2.79,4.6,4.59,---,---,---,---,2000,11
3.19,3.02,4.79,4.79,---,---,---,---,2000,12
3.21,---,4.8,4.81,---,---,---,---,2001,1
3.25,---,4.82,4.84,---,---,---,---,2001,2
3.27,---,4.83,4.86,---,---,---,---,2001,3
3.3,---,4.86,4.89,5.62,5.39,---,---,2001,4
3.38,---,4.95,4.99,5.64,5.43,---,---,2001,5
3.72,---,5.35,5.4,5.74,5.56,---,10.05,2001,6
3.41,3.25,5.02,5.05,5.8,---,---,10.12,2001,7
3.15,3,4.76,4.8,5.78,5.51,3.52,9.93,2001,8
3.48,3.32,5.12,5.16,5.79,5.57,3.7,9.99,2001,9
3.42,3.26,5.04,5.06,5.83,5.59,3.67,10.08,2001,10
3.36,3.2,4.98,4.99,5.81,5.6,3.63,10.12,2001,11
3.32,3.17,4.94,4.94,5.81,5.56,3.46,10.07,2001,12
3.31,3.15,4.92,4.94,5.79,5.54,3.4,10.01,2002,1
3.29,3.13,4.9,4.93,5.77,5.52,3.37,9.97,2002,2
3.31,3.14,4.91,4.94,5.76,5.51,3.47,9.95,2002,3
3.4,3.23,5.01,5.04,5.8,5.56,3.82,10.02,2002,4
3.61,3.44,5.21,5.25,5.86,5.68,4.1,10.13,2002,5
3.88,3.64,5.48,5.52,5.95,5.78,4.25,10.31,2002,6
3.95,---,5.56,5.59,6.07,5.89,---,10.41,2002,7
3.44,3.26,5.09,5.12,6.05,5.8,---,10.25,2002,8
3.75,3.57,5.38,5.41,6.08,5.87,---,10.36,2002,9
3.91,3.73,5.52,5.56,6.11,5.93,---,10.45,2002,10
3.88,3.71,5.49,5.53,6.16,5.94,---,10.48,2002,11
3.7,3.54,5.32,5.37,6.14,5.9,---,10.44,2002,12
3.4,3.25,5.02,5.08,6.08,5.84,---,10.36,2003,1
3.35,3.21,4.98,5.04,6.03,---,---,10.24,2003,2
3.36,3.23,4.99,5.05,5.98,5.75,3.63,10.16,2003,3
3.43,3.29,5.06,---,5.96,5.74,3.69,10.15,2003,4
3.63,3.49,5.26,---,5.98,5.77,3.93,10.24,2003,5
3.9,3.75,5.52,---,6.07,5.88,4.35,10.4,2003,6
3.95,3.79,5.57,---,6.17,5.96,4.56,10.54,2003,7
3.55,3.4,5.18,5.16,6.18,5.94,4.16,10.53,2003,8
3.65,3.49,5.26,5.3,6.17,5.95,4.19,10.49,2003,9